Region,Shipping_Mode,Shipment_Volume,Distance_km,Scheduled_Shipment_Days,Transportation_Cost,Delivery_Time_days
West,Road,262,1469,7,317.7949481805995,5.095931147146218
East,Road,439,1092,7,401.93181240399196,3.8092337950891713
South,Road,311,843,7,252.82126910402633,4.853928019291715
West,Road,301,58,3,159.26422722008988,3.0405222264027243
North,Road,318,987,2,134.78598998185169,3.3895571490724787
North,Road,302,506,3,168.76901853800143,4.424994277920761
East,Air,88,347,6,77.21824827545476,0.5
North,Road,167,274,6,146.28747588780288,3.9859717912338937
South,Road,30,777,8,132.90472000706262,4.479363327187018
East,Road,273,726,2,200.9153519529781,4.41291552259807
North,Road,349,301,5,193.49648073724498,2.861254840832964
East,Air,379,1493,2,1075.202090278482,4.435529782666453
North,Road,57,1292,4,136.2677634385584,5.93162199524118
North,Sea,153,406,6,50.0,5.795601921108174
North,Air,219,295,1,92.67997003563633,0.5934999782737623
South,Road,42,955,1,124.58821227310898,4.4299069823554635
South,Road,322,950,5,285.17566910594786,5.634534986295035
East,Air,365,1412,4,856.7413277336016,5.879348180556703
North,Rail,321,369,8,195.81429762141227,4.134037025500803
North,Rail,382,418,3,128.54989799227985,5.3713831061314306
South,Air,415,606,4,386.4336994380195,3.2652305200843186
North,Road,237,32,1,192.12174396416324,1.7478450010102367
South,Road,160,1482,1,310.4951543441514,7.146078318061481
North,Road,123,1195,8,50.0,3.6785653159165537
East,Air,465,405,6,361.9379802842415,2.600235515032976
North,Rail,229,353,4,88.60720230100067,4.4975697795470655
North,Road,492,175,4,262.1192061592252,3.22057555999816
West,Road,500,322,1,181.59951029708407,6.015833281448644
South,Road,130,461,3,50.0,2.983244764673199
North,Road,123,734,5,211.40243475686148,3.504404407271392
North,Rail,335,978,7,138.34511179637434,6.906228807397795
West,Rail,190,614,5,126.10696564947672,5.427303778086783
West,Air,479,428,4,374.13537854833856,3.1368489209585544
South,Road,375,846,5,235.25564312040422,4.477619382341113
West,Road,343,1397,1,429.1521162694757,5.739692617012163
East,Rail,152,993,1,263.8487912932516,7.276935612994574
West,Air,395,1193,8,764.7701877534437,2.443795920419304
East,Rail,312,216,4,169.4343097855472,3.919122955908339
South,Air,347,90,8,98.67524592170031,1.8120040714254446
South,Road,146,968,4,128.6133662983147,4.122639179912163
South,Road,125,1433,7,232.86328549959003,4.652104120716964
South,Road,111,739,7,73.16275640004135,4.435234512786522
South,Road,306,836,6,273.64098205425313,5.590305666491495
East,Road,397,1493,4,477.10448495568147,5.5414156371941425
East,Road,412,1372,3,380.6179416810687,5.29041037918925
South,Rail,70,1355,5,228.93846714095667,5.3498119743165695
West,Road,48,1397,4,50.0,4.758023156594265
North,Road,481,40,2,204.76043334281704,3.9648560798301857
South,Sea,315,1115,6,51.72712993604071,6.9048128706936565
West,Road,316,255,2,333.29898982936567,2.300009339069712
North,Road,233,1206,1,226.11474329647172,5.165612380323663
South,Air,286,593,7,289.9952990528668,2.9946940109860405
South,Road,426,801,5,271.3872664036001,3.7726143364525715
East,Road,276,1363,4,233.64994401629005,3.9423947804044364
North,Road,321,914,2,288.454270919818,6.620075159872752
North,Road,120,1296,5,281.27201320291033,3.563470649956753
West,Sea,424,1419,1,180.8720641760326,7.208977436144215
East,Air,365,1383,7,948.2299467421802,3.8543785118586698
East,Rail,129,1160,3,50.0,5.408822298755708
East,Air,439,255,6,351.4188313260028,1.3838391553449811
East,Air,201,854,5,403.78294568493163,2.936088167874593
North,Road,490,247,5,241.89933249312242,0.9147783422872062
North,Air,332,966,3,604.5749168151226,1.4801055284761486
South,Road,20,782,5,78.14103815016738,3.8332593860703295
South,Air,338,535,1,446.45622052401325,1.4882829880263901
East,Air,457,288,1,219.0222034909107,1.6766612582755975
East,Road,74,83,3,50.0,2.6861532826313037
East,Road,390,1100,6,335.60266111719733,2.771580004529008
South,Road,443,756,4,256.9276375198845,5.539390332151646
West,Road,418,718,2,303.8365332247082,3.6602321168996506
West,Air,168,1152,4,486.0661997019798,2.0484868152239932
South,Air,450,1073,5,909.8709855405797,3.3168552959592796
South,Road,476,448,2,288.1196318278722,3.798160227782243
South,Road,328,719,8,252.18126333325148,5.244690817654638
South,Road,156,879,3,210.0399023824769,4.424873162770018
South,Road,221,91,3,102.89504531174103,3.8163608480243
South,Road,455,1198,6,432.35268227106275,4.226572624572294
East,Road,332,245,2,156.40269799944593,3.246861055207499
East,Sea,136,32,1,123.85037575703446,3.319252292675111
East,Road,173,189,2,106.31266768392128,2.8919258555602796
East,Road,444,810,5,354.4270440329909,4.260712044398114
South,Rail,310,1173,1,188.44772151155342,5.776202574799098
West,Road,82,922,7,140.29776853671254,3.9979724476383676
North,Sea,263,1142,7,266.9113730145303,7.549139470184597
South,Sea,44,358,8,50.0,3.3636403429974204
North,Road,109,609,7,50.0,2.6544621372158277
West,Road,94,1410,3,198.54900164085802,5.096928173254824
East,Road,313,1320,2,309.25118567525504,4.052586910528751
West,Road,405,981,7,389.27810682602876,4.714364106201043
South,Road,410,1376,4,401.15194440721046,5.413647478758925
East,Rail,229,664,6,115.47754499056816,3.410493354947417
South,Road,494,1017,4,371.011682292725,3.3983348537457223
East,Road,437,1248,7,476.4716010629247,2.6184617644507338
North,Road,366,950,8,331.5108739034663,3.3368299503180863
North,Sea,36,767,6,50.0,5.7933232582106
North,Road,147,1385,5,224.980974446074,5.309937822940877
West,Road,446,199,4,165.31804926809835,3.3573995596284507
South,Road,462,550,8,238.47750243596363,3.0995811873326193
West,Sea,383,69,2,63.844457590198765,4.798446515978511
North,Road,270,1314,2,378.74623121545113,5.562744609241453
South,Rail,198,1448,4,296.0298963694403,5.075464450498846
North,Air,201,984,7,262.2331677421897,2.74257907439054
West,Road,171,1279,8,164.4327865580989,5.628231211835091
West,Rail,44,1013,2,106.8062144099996,4.790227870177119
West,Road,474,1177,5,473.2394742601669,6.208734330349603
North,Rail,199,1004,1,178.36218134742364,4.98931565617503
South,Rail,217,67,7,57.67325398845537,2.7451891448769246
South,Road,363,357,8,220.94240041151625,3.92459117855292
North,Road,180,1304,5,214.30247401143052,7.066293769466457
South,Air,196,1229,8,477.19633985915283,3.1883536188878097
North,Road,304,943,6,255.76850966171466,5.10090780411372
South,Road,82,483,5,161.9848908586939,2.759782778902156
East,Road,169,66,7,84.53622788283488,1.3016337802039724
East,Rail,173,1369,6,238.08431448530555,6.320515645900732
West,Rail,175,1002,7,161.5181722115049,5.747149971787911
East,Road,389,825,2,201.81758895074864,3.9783389096188375
East,Road,488,1002,1,366.3624586013186,5.445056518021506
East,Road,68,622,7,52.19786177983495,2.87491999018568
North,Rail,474,1167,7,313.06911528431596,5.224413734148258
East,Road,356,1093,2,372.0725750462027,5.8916429304861655
East,Rail,103,1354,3,77.84152957985198,7.102097626541632
West,Road,380,253,2,178.37613840631073,2.5466568941643217
East,Sea,196,347,6,58.97037791527545,6.857850490404822
East,Road,167,378,2,148.8383391941583,2.8776433074697505
South,Road,137,144,2,171.0646969414339,2.744032864643959
West,Road,361,727,1,95.27993481229711,4.020597458151572
West,Sea,495,1376,2,192.26669211900577,8.09451021744568
West,Air,82,1093,8,217.57303884230546,2.959921493800943
West,Road,208,69,7,129.94643424271308,2.8559621615816577
West,Rail,379,1342,8,281.6280069449174,5.338188368280115
West,Air,68,1315,1,239.86034526133568,1.4264376832103158
North,Rail,346,245,4,275.22151677458794,5.2646600282528615
East,Road,276,1200,3,197.28799048055401,4.399554001060256
West,Road,243,365,8,228.26620114539392,3.1847166265665217
East,Road,160,1221,1,182.9495310991908,5.168798909889781
East,Air,497,121,6,234.6824354749114,2.8922596033492676
North,Sea,234,382,4,271.373258902192,5.417857924642509
West,Rail,454,600,1,251.71946165797982,4.572702437075903
South,Road,398,845,1,311.0451996853,3.863955618713142
North,Road,459,810,3,416.4230634604563,4.356393158758062
South,Rail,230,392,7,212.9967051215234,3.362135230359387
East,Air,337,586,8,360.0136146686995,2.02212572314901
East,Air,51,1398,6,234.6935319717699,3.2077303115419857
North,Air,177,1223,5,326.12889861014685,4.708776948644152
North,Rail,304,385,8,106.66446281380243,4.266398861409079
South,Road,324,220,5,161.18770773199017,1.1205118389511501
West,Road,448,451,1,168.9790253053119,6.335510970396479
South,Air,496,729,2,697.6700722180348,3.434833731156097
North,Rail,305,36,6,103.23547690428727,5.735598744095585
South,Road,163,162,4,152.07247126765301,1.5704300130155155
North,Road,443,586,2,213.08496845803222,3.703923218743708
South,Rail,38,855,2,50.0,5.63190124149432
North,Road,37,790,8,219.54537783212828,4.362641372284459
North,Road,276,1084,6,229.85242801170386,5.019937707359552
North,Road,97,564,7,176.29014151819828,1.2496392814994457
West,Rail,390,455,1,267.8982918530775,2.8850605424356854
South,Rail,194,1447,1,218.05973992982726,7.854020109063872
South,Road,213,701,1,122.18069013897954,5.5635795328696895
South,Rail,495,392,1,161.23250178168587,4.496098708563605
North,Road,132,1490,8,279.4018641624727,6.735427474406382
South,Road,133,111,5,122.55697820165041,1.5650222338567015
South,Air,241,385,1,164.09607454570062,0.6768239465313193
North,Rail,185,1311,5,233.92836834735985,4.95096967813685
East,Air,454,618,5,602.7824028335699,1.3535804543113539
North,Rail,338,324,7,116.74272797174466,4.993196009522619
South,Rail,151,1277,1,215.9913662923322,5.080397626936555
North,Road,404,1099,3,361.34910168223274,7.142743039927865
East,Road,283,1166,4,267.6678322950572,5.345820606347438
North,Road,432,1286,2,315.00609794844354,6.3965270464950885
South,Road,74,46,5,177.32897265740303,2.874440582800073
East,Sea,378,389,6,189.90526999438833,6.664769650459279
West,Road,150,1276,6,246.14204060627185,4.0715000004614526
South,Air,307,895,4,647.7408202574666,4.020683538199558
East,Rail,285,729,6,245.11426089095153,5.1551888855914365
East,Air,477,477,3,512.1060204306094,3.159516110968739
West,Road,486,885,6,181.63458563812182,3.1379359466238155
North,Rail,385,394,2,241.42484662616909,4.6498332066083625
North,Road,181,704,2,175.89883599974354,3.9794887167816646
South,Road,399,1037,5,349.44406761799974,4.153513535020559
West,Rail,500,1379,1,384.363323278537,6.896118829747264
North,Road,106,496,7,183.08509205495955,4.864106848001515
West,Road,74,443,3,196.58235201611797,2.4823476410368785
North,Rail,495,615,5,260.0783800141456,6.010604356204938
East,Road,307,1286,3,350.4110912523924,4.028326943853492
North,Sea,197,1277,1,179.09814175069,9.109694594642459
West,Sea,410,1023,8,50.0,7.543100318436708
East,Sea,368,1465,6,214.64862863848683,9.315117332258572
East,Road,27,601,6,50.0,4.107810519093768
East,Road,340,364,7,252.81976772573594,3.7436131777293613
West,Sea,332,1275,1,249.15760388004054,7.957932940485918
South,Road,266,66,5,77.5862108950386,2.5280525366458284
South,Sea,342,1018,7,161.9987972411529,5.045666094441678
South,Sea,491,307,1,110.1055545688305,5.875149346466792
West,Air,490,1249,4,1050.3881691976756,2.754996665400246
East,Road,462,945,2,239.0054789532642,3.565838084620597
South,Road,274,513,7,61.019535470556264,4.20479316843861
West,Air,347,1295,7,821.0172740667222,3.1446415251003064
South,Road,73,1377,5,230.5585397551548,6.072954406605689
North,Road,268,760,3,174.38572118004961,3.2660592312409293
South,Rail,258,221,4,142.90797256468315,3.493671023486174
South,Sea,248,1070,5,217.73826420237077,7.8002960263013925
East,Rail,86,553,1,50.0,4.693342660997609
West,Rail,70,947,1,123.79191998960678,3.70417195909386
East,Road,116,430,1,80.77756631085394,3.462760882860111
East,Rail,111,915,8,251.02306442819054,6.649988548588803
East,Sea,283,734,1,261.30266548034797,5.543172555378533
East,Road,437,51,3,50.0,3.446307696452909
East,Road,310,503,4,212.77340681590283,2.744113084844095
South,Air,115,1173,6,390.5639510568743,2.7529667250305714
East,Air,107,239,2,200.2998650263431,2.1015855364504334
East,Rail,97,335,3,118.05751244890558,4.210481667754974
West,Rail,307,1323,3,345.8002023235043,7.519019862715636
North,Road,139,733,8,92.7218217707397,4.265052404227862
South,Road,321,716,6,205.19329389237154,6.251989677200841
South,Air,419,314,6,249.07063061682976,0.5
South,Air,471,745,2,716.2065446290435,2.2615566499390347
East,Air,184,792,2,292.3802187990384,1.1294662067079486
East,Sea,201,1280,6,152.332557719404,5.99500082554175
East,Road,488,977,1,405.46372577860245,3.7568163061939606
West,Road,417,410,3,242.91099396444713,3.70897582205122
North,Air,242,489,5,225.8419557621325,1.906800934821867
East,Rail,330,1060,2,306.88986986409543,6.159955924995116
North,Rail,451,58,8,141.83831680670758,2.756689439855448
West,Air,485,936,8,750.616801229372,2.55402518100171
South,Air,26,1086,2,52.237487297037106,1.6402053602436322
East,Road,349,908,6,273.1832202816553,5.388131556271716
North,Road,282,108,4,176.2573792521766,1.8982324498190264
North,Road,180,976,5,257.9241103680686,4.163287848004118
East,Rail,170,488,5,156.45648140573897,4.948806441323106
South,Road,104,599,2,137.67003868287782,2.912371325502435
South,Road,166,1483,1,271.2195368355304,6.067378444980654
South,Road,131,767,4,95.3892139927519,5.493829735533149
West,Road,400,1338,5,512.4491504117774,5.5657117287255256
North,Rail,422,545,2,304.57188926857646,5.719110914568407
North,Road,55,1152,8,164.86486202344884,2.4993291110636164
North,Road,304,426,5,185.0382293994996,3.002948073152149
West,Air,207,68,7,93.7221319138441,0.9796508169289767
North,Road,101,1324,4,210.56061920597625,3.9212849215996926
West,Road,21,916,4,62.187584028825626,4.265899335404092
South,Road,404,826,7,127.88435783031284,5.416940556059151
East,Air,322,186,3,50.0,0.5
North,Road,216,1128,8,178.04151667855592,3.5369271341961515
North,Rail,423,913,7,257.7020886042794,5.739563270764186
South,Road,30,1183,6,142.7575213767438,5.063919729440047
East,Road,253,1003,6,205.49445940435007,5.260330374909651
West,Road,405,1137,2,363.19521170000326,5.091139478887768
East,Road,214,1075,4,207.33151500618283,5.079012405015809
South,Rail,490,878,3,193.5317069644904,6.471980708540681
South,Rail,138,1435,3,171.48928437216122,5.8280418982296744
East,Sea,415,777,5,237.52074786559544,5.664163913993578
West,Road,39,1493,5,65.24052765775745,5.066243369065131
West,Road,280,1018,7,190.0196770886212,4.785487942277412
North,Air,312,50,3,50.11245842334894,0.5
West,Road,441,332,7,50.0,3.021492683526788
East,Road,275,898,8,202.20833380970868,4.737451770507296
South,Road,241,113,7,164.96417790667718,2.8850007810297154
North,Road,412,1440,5,438.4781258683634,5.409662877184242
North,Sea,245,1310,4,168.38993811605854,5.385180689937352
South,Air,72,599,7,178.0393358768118,1.6844920079914596
West,Rail,447,963,1,229.34647587995892,4.7147460324909565
South,Road,374,1215,4,213.57343539155696,6.0805827052059005
West,Road,361,1216,3,396.2971147270196,4.774528846721492
South,Road,383,1038,3,393.6334201649256,3.758517943777479
East,Road,299,822,7,184.20692567525492,4.156206726119951
West,Road,100,821,4,134.5965065575411,5.237699585092191
East,Rail,221,1324,5,194.5995780257888,6.755065849144619
North,Rail,177,521,5,159.6326766597179,4.683167150605935
South,Road,139,237,6,236.41119196384028,1.5216549409531437
North,Sea,78,1113,3,202.8888871702514,8.145100099766323
North,Air,234,459,2,245.4656042210273,0.9888728259640969
North,Rail,147,1014,6,194.6145103050166,6.345533912872343
North,Rail,243,1362,5,313.5720608000899,5.9023871216485855
South,Road,228,549,4,197.42876150763448,4.420507872483239
North,Road,389,620,8,232.32004168918792,5.233124095875274
South,Road,134,1080,5,210.816006626703,5.175637269907534
South,Air,228,228,4,133.94539342055685,1.8968549597599393
East,Road,33,416,6,68.54072131271433,2.9748110138443677
West,Road,28,378,3,50.0,2.5570338579271894
West,Road,59,989,5,153.58756615991703,4.390048689785811
South,Road,469,722,7,277.04169657844335,3.890335494230783
East,Air,256,407,4,209.0889357056344,4.001203710812492
South,Rail,300,928,3,194.29944118656462,4.438641713509487
South,Road,378,945,8,329.3653782534219,5.564585216590409
South,Road,220,556,8,301.3058614198594,4.104196834539014
East,Road,265,1206,2,346.61925052927006,5.173122208123938
West,Road,297,763,4,64.74569997623621,5.57713609991384
East,Road,254,235,6,149.58109267742418,3.285877452601179
North,Road,23,484,2,206.1752983898998,2.561843080257585
East,Road,173,1326,2,132.51775561528373,5.359980377253407
East,Rail,461,1289,1,364.4161689148697,6.171071731094771
East,Rail,48,550,5,93.46704701282678,4.8632846688166484
East,Road,128,1046,4,254.15873716413125,5.265073631629498
West,Road,117,985,2,191.68275365094166,3.4571620576359305
North,Rail,234,755,1,105.25351818085556,6.197836118002815
West,Road,312,1043,6,264.9191965196566,4.4211001551315405
West,Air,94,530,3,169.79330267666637,2.0211139226821784
East,Rail,345,146,7,110.51812496329656,4.540280170320696
South,Road,165,415,7,216.0096561342684,3.60363869063063
South,Road,147,1397,4,153.9640555026839,5.068641482347431
West,Rail,360,613,2,254.0719916762829,4.387402418007336
West,Road,61,424,7,93.06772268549359,2.8552554926966587
East,Rail,375,1117,5,274.81827744304155,7.467921932528878
West,Sea,60,750,7,116.31643103967238,4.909133562870942
East,Rail,441,101,7,115.39920633427157,3.234006662037034
South,Road,53,303,7,107.88025158882743,2.109101176856286
South,Rail,36,1373,8,220.79773907897146,6.126753879917665
North,Road,184,367,1,196.11189474343013,1.6392945500121943
South,Road,172,1419,2,208.8473017294049,3.899440143865607
West,Sea,397,636,5,273.91810778854637,5.7072951670407415
South,Road,95,195,2,129.4164251794997,1.420974554701762
East,Sea,106,40,8,126.0936981526726,3.206228690717199
South,Sea,136,1354,4,87.4236644468026,5.797731590637061
North,Road,381,758,4,224.01399391164017,3.3456382908666717
South,Road,361,830,4,216.60125444509774,5.042496506670407
East,Road,488,131,6,141.18550054955725,4.027707956121082
East,Road,46,1478,7,182.10821556137464,7.132500893218605
West,Road,332,1445,6,389.56326095955495,7.387361858513478
South,Rail,306,808,1,305.11733092487066,5.984812709880447
East,Road,153,243,4,58.305389635213544,3.9049276748010318
North,Road,238,1141,8,257.3977330477218,4.910602090685918
West,Air,187,430,5,138.85024694911937,2.013614852012269
North,Road,117,617,2,75.17298198777164,5.52385304818317
South,Air,287,918,7,610.0660864136923,2.96596286805683
South,Road,256,1099,3,222.3176593469974,5.87123857854524
South,Road,328,621,5,155.79293427578102,2.9176483914214892
West,Rail,474,1363,7,196.4051787091937,5.852261275741773
East,Rail,413,1139,6,221.81983465477578,6.3063195977949675
West,Air,192,121,6,122.80158080635148,1.031931670063391
North,Air,420,702,5,476.72579281496525,1.709065812595104
West,Air,429,743,6,591.6003627712273,4.829627583931218
North,Road,488,965,4,447.9501742460756,4.912594103914866
West,Road,495,271,1,124.26837617701672,2.918024947815338
East,Air,209,31,2,50.0,0.8748688273606302
North,Air,141,254,1,78.6292973194435,1.1096767026116348
South,Sea,65,830,7,50.0,6.129052547891088
South,Road,83,618,2,165.70212128219003,1.9460329846489668
West,Road,149,145,8,115.28956158181354,3.9681966965668654
South,Air,329,947,2,665.4807815492902,4.05407942043915
North,Road,382,1156,1,484.2642524157979,6.459820772036485
South,Sea,212,223,5,50.0,5.236431758536297
East,Air,326,1219,2,762.4359095909242,3.9079810601645155
East,Road,200,900,8,120.69664658965081,3.3837730519927502
West,Air,311,119,8,214.43735086234156,1.8596493285973894
North,Air,390,151,8,175.19015992485944,1.441287706893939
East,Road,301,172,1,130.38719326049215,2.459843384360758
East,Sea,48,1023,2,50.0,7.17074469164084
North,Road,168,135,3,82.62410824207828,3.5834490360910998
South,Air,286,916,5,525.4379575775782,2.650108835674933
South,Road,315,457,4,274.1007202764696,3.9461325801284026
West,Air,30,1358,2,109.56476308140122,2.12178298806644
South,Road,183,346,8,96.27648999287811,4.363933437214358
North,Road,132,664,3,214.3066749527597,2.7941868119650985
East,Sea,206,38,4,50.0,3.828074351920824
South,Road,314,803,4,318.6450600781888,4.260815645430537
West,Road,251,1126,7,254.80823976916207,5.880266284218459
South,Sea,246,1412,2,208.05660731142905,8.445448633215662
North,Sea,329,252,1,146.45356117565595,5.110425378094869
West,Rail,117,1469,2,122.17630126153743,7.057263362253812
South,Rail,74,582,3,143.65791736306767,2.767441550671104
West,Road,130,1423,4,147.678615097999,4.489180009870447
North,Road,171,745,2,134.9200397130784,3.204799560536399
East,Road,265,1317,1,331.06111762232933,6.417462909759817
North,Rail,425,1371,7,341.9540768949332,7.127904162908008
North,Air,88,1137,2,254.84205344126667,2.968652775904601
North,Air,331,1371,5,737.9703845515892,3.8374850638293743
North,Air,308,140,7,98.35091974552591,2.6333392760301244
East,Road,269,280,1,160.7956330733489,2.926070333493448
East,Road,55,412,3,163.7128394439581,1.7786826914659604
West,Road,258,36,4,50.0,3.6816951843953047
South,Road,167,488,2,86.03503267834827,3.5665890372050613
East,Road,486,1137,1,413.3130621924403,6.035171678165781
East,Air,246,237,7,201.17835038403652,1.136735192613492
South,Road,263,929,5,120.70284538672712,3.548060476296107
East,Road,356,1443,1,393.84881094079924,5.933821721082977
North,Road,465,1367,6,407.7245032838847,5.525425070741431
North,Air,384,51,8,246.20766408102708,1.1669422828744092
South,Rail,220,439,5,154.14429799149593,5.969570494117416
West,Road,173,924,7,217.42174149131324,3.165547522615299
West,Road,469,544,3,271.63995115334274,4.160168660475983
South,Rail,92,1180,4,56.27788335432051,4.856003309841323
South,Road,220,838,7,337.46938251760224,1.5604540268799418
North,Air,315,903,8,441.508212678418,2.5507848109777767
West,Rail,36,43,3,156.28745991898194,3.362022936999807
East,Road,148,1000,2,224.70647562364545,5.008522102950758
North,Road,236,1007,1,197.31843340609282,4.291459251416056
South,Sea,80,1043,6,167.51152216993725,4.896999644876027
West,Road,446,1065,5,339.01437608233834,4.065068422745137
East,Road,123,116,5,60.56509886009552,3.9027088366867035
East,Air,61,938,1,224.41794185470494,1.5156220707093686
North,Sea,44,1354,6,50.0,8.546225529692506
West,Sea,58,1296,1,103.09413888697011,7.914484292571383
West,Air,310,151,2,133.303627588903,0.7717193956639303
South,Road,150,1200,8,175.48143432989386,4.058420836897301
West,Road,248,779,3,236.54660193911292,5.115912969130578
West,Air,127,1409,7,344.7031539357656,3.13583875490638
North,Rail,191,714,5,138.35944608493446,3.3210998603000412
West,Road,454,338,2,149.1784323668893,4.005816620623258
East,Sea,497,724,3,291.0367665902182,6.686513447858186
North,Road,121,317,2,145.0792178749723,4.122956202714779
North,Road,373,336,6,184.33527430767037,3.687844999360297
South,Road,31,943,5,163.91744532363967,3.575603022954283
West,Road,294,691,7,170.14527962575792,5.219178839602134
South,Road,120,578,1,198.29600574998884,4.872990432678844
East,Road,63,1405,1,172.9156922082919,5.321955963985207
North,Road,462,341,3,77.38573680721542,3.5198219145329723
North,Rail,324,902,7,111.09208168294646,4.085728976894895
North,Air,464,1112,8,885.4880063051154,2.5964736576535246
East,Rail,36,953,4,50.0,5.911769641959354
East,Sea,349,784,6,151.72450775102917,5.6469696996372996
South,Road,76,64,3,50.0,0.9661621306066774
South,Road,330,474,4,179.1903862850357,7.0563777896000985
South,Air,322,122,2,261.67405631520194,0.5
West,Road,31,1260,6,118.02661675106705,7.015501396434118
North,Sea,337,382,2,110.975988156865,5.0778265554017405
North,Road,99,932,8,177.9243853449741,4.103187000856193
South,Sea,235,1385,7,132.61936449541776,6.591471727812401
North,Road,358,891,5,334.47690165771996,5.212337164737892
South,Air,283,188,6,219.79130671868782,0.5
West,Road,498,986,4,372.7859893433995,2.9541709637658276
West,Sea,168,53,8,113.02810821435105,6.126171529378606
East,Road,100,433,5,266.73721373939964,2.3870276011930223
West,Rail,234,834,1,240.12113471875074,5.906588119539685
South,Sea,393,545,4,307.51311418129336,4.695793923103784
West,Road,483,761,3,339.40176353047167,5.034171042894583
East,Rail,217,1417,1,113.82741901305182,7.98879649877845
North,Rail,219,1435,8,201.06854079953115,5.816628614584884
South,Road,44,561,1,50.0,1.443558893214019
North,Rail,485,985,3,318.51671242668425,7.465043913309906
East,Rail,108,181,6,159.60653381417814,4.623244321524892
East,Sea,287,976,1,108.01388028285048,6.037178766228692
East,Road,162,637,7,110.86215342472028,3.458547946731354
North,Road,78,449,4,129.67466273646508,2.084847803750314
North,Sea,429,1303,5,155.87946557150477,8.76250693244196
North,Air,384,1170,1,729.7268161530228,2.685284392189355
North,Road,45,895,4,208.85549336287846,2.627541462452527
East,Rail,66,607,2,123.25330327147778,4.710145881512471
East,Road,307,364,4,122.39374496058309,2.45173663842146
South,Road,285,1471,5,212.13092780099464,4.468235424136893
South,Road,35,961,4,178.16384498261306,3.7356507962380547
North,Road,218,324,3,90.93132514481215,3.2068553155003707
West,Rail,420,784,8,355.37431121093766,3.911890244085253
West,Road,426,1424,5,493.7949068385411,6.9656489252123235
East,Sea,301,215,8,59.608820191491176,5.683409712065787
East,Sea,488,1299,6,208.394981200797,7.042637009227269
